Unnamed: 0,limit_bal,sex,education,marriage,age,payment_status_sep,payment_status_aug,payment_status_jul,payment_status_jun,payment_status_may,payment_status_apr,bill_statement_sep,bill_statement_aug,bill_statement_jul,bill_statement_jun,bill_statement_may,bill_statement_apr,previous_payment_sep,previous_payment_aug,previous_payment_jul,previous_payment_jun,previous_payment_may,previous_payment_apr,default_payment_next_month
2174,440000,Female,University,Single,29.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,485921,234046,214092,201210,186455,169455,20000,7822,8000,6000,16000,4000,0
5722,380000,Male,University,Married,48.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,379080,294675,226959,219918,203575,188774,13000,9500,8000,7200,6700,7500,0
13685,500000,Female,University,Married,66.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,3718,1755,2988,11645,13237,303512,1755,2988,11645,13237,303512,0,0
27925,360000,Female,Graduate school,Single,26.0,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,2500,0,0,0,0,0,0,0,0,0,0,0,0
28114,150000,Female,University,Married,38.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,149957,152224,152208,116763,72325,73273,6000,5440,4000,3000,3000,3000,0
2365,130000,Male,High school,Single,49.0,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,Unknown,60273,61839,62370,63429,26779,27521,2536,1857,1681,971,1186,1698,1
5653,50000,Female,Graduate school,Single,28.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,6608,4571,6260,6760,4762,5684,2000,2000,500,2000,2000,1000,0
4003,120000,Male,High school,Single,25.0,Unknown,Unknown,Payment delayed 2 months,Unknown,Unknown,Payed duly,81129,72699,39909,18334,7382,19801,7504,29,10004,6,19824,18129,0
23519,350000,Female,Graduate school,Married,36.0,Payed duly,Payed duly,Payed duly,Payment delayed 2 months,Payed duly,Payed duly,326,326,652,326,3817,2802,326,652,0,3817,2802,0,0
29360,110000,Male,University,Single,28.0,Unknown,Unknown,Payment delayed 2 months,Unknown,Unknown,Payment delayed 2 months,10817,10988,8033,7262,9612,6747,3000,0,2000,5000,0,1646,1
19965,270000,Female,University,Married,36.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,73953,68207,55382,46629,28115,12847,5168,5010,2005,2000,2000,2000,0
28324,30000,Female,Graduate school,Single,30.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,29009,28432,18191,9745,9545,13964,1315,1522,1200,0,6000,10655,0
29758,210000,Male,Graduate school,Single,40.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Unknown,65568,67501,52620,7379,9083,10766,3700,2700,1300,2000,2000,16000,0
8613,170000,Female,University,Married,33.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,1870,0,400,1000,0,1243,0,400,1000,0,1243,6912,0
1015,130000,Female,Graduate school,Married,36.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,129689,107070,103942,94623,90556,92394,5000,4400,5000,4000,3500,4000,0
5861,50000,Male,High school,Single,41.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Payed duly,47384,48814,49771,19375,71,19661,2194,2151,755,71,19837,792,0
16086,170000,Female,University,Single,30.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,92626,90727,93345,93812,95613,95972,5000,5000,5000,5000,4400,3000,0
9521,220000,Male,University,Married,39.0,Payment delayed 5 months,Payment delayed 4 months,Payment delayed 3 months,Payment delayed 2 months,Unknown,Unknown,187665,175338,163018,128157,131067,108683,0,11,0,4561,5007,170806,0
10821,160000,Male,University,Single,30.0,Payment delayed 1 month,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,679,0
2734,240000,Female,University,Single,47.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,316,21359,2762,10264,316,9801,21359,2762,10318,316,17677,31600,0
22233,180000,Female,University,Married,32.0,Unknown,Unknown,Unknown,Unknown,Payment delayed 2 months,Unknown,151307,143025,140984,85948,80069,77462,6000,6000,8009,0,3000,3000,0
2862,50000,Male,University,Single,28.0,Unknown,Unknown,Unknown,Unknown,Payment delayed 2 months,Unknown,28864,30090,31282,33350,32682,33385,2000,2000,2900,0,1400,1600,0
22248,70000,Female,High school,Single,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,31337,34439,25170,20921,18229,20915,4000,3069,3000,2000,3000,3000,0
15944,100000,Female,High school,Married,36.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,102505,101554,101827,100055,80923,81249,3830,4100,4510,3186,2886,3020,0
27633,20000,Female,University,Single,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15090,15199,17111,18422,18234,18217,1500,3000,2000,779,796,788,0
3399,50000,Male,High school,Single,22.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Payed duly,6673,5054,2340,1990,1377,1080,1056,1000,40,1377,1080,382,1
19609,350000,Female,University,Married,38.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,62862,79927,76057,65139,56984,55038,24000,6000,5000,3000,6000,5000,0
17734,290000,Female,High school,Married,58.0,Payment delayed 1 month,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,68445,66757,76983,74891,78100,83325,0,12000,0,5000,6000,0,0
15079,210000,Male,University,Married,44.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,245,245,141,-104,-104,-104,245,141,88,0,0,0,0
13794,360000,Male,University,,28.0,Unknown,Unknown,Unknown,Unknown,Payed duly,Unknown,0,0,0,0,1090,8788,0,0,0,1090,7910,170027,0
10917,200000,Female,High school,Married,54.0,Payment delayed 6 months,Payment delayed 5 months,Payment delayed 4 months,Payment delayed 3 months,Payment delayed 2 months,Payment delayed 2 months,110185,107665,104686,102549,101400,0,0,0,0,0,0,0,0
2099,50000,Female,Graduate school,Single,24.0,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,43379,46097,44187,43165,37967,36327,3628,8,1500,1490,1303,2000,1
25194,30000,Female,University,Single,23.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,23237,23874,26985,29497,29290,28693,10000,5000,3000,2000,3150,0,0
27816,110000,Female,University,Single,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-2628,-5118,31503,-2880,-5000,0,165,36621,1496,10000,5000,0,0
16092,40000,Female,University,Married,37.0,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,25561,26343,25635,28100,27352,27862,1500,0,2900,0,1100,2400,1
25327,200000,Female,University,Married,29.0,Payment delayed 1 month,Payment delayed 2 months,Unknown,Unknown,Unknown,Payment delayed 2 months,57982,55005,54742,54401,42923,40365,0,2200,1671,3000,0,4600,0
29428,50000,Male,University,Single,26.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,45253,44840,45880,46893,47827,48829,1724,1764,1777,1711,1772,2043,0
8560,50000,Female,University,Married,32.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,316,282,316,316,316,316,282,350,316,316,316,316,0
4532,20000,Male,University,Married,29.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14275,15335,16223,15594,15920,15338,1297,1185,492,510,557,324,0
28651,160000,Female,University,Married,36.0,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,Payed duly,2447,206,805,666,740,539,206,886,679,740,539,0,0
11685,330000,Female,University,Single,27.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,237515,230471,233421,201240,186444,158521,11012,11012,6548,6497,6037,5141,0
15296,420000,Female,High school,Married,44.0,Payment delayed 1 month,Payed duly,Unknown,Unknown,Unknown,Payed duly,0,5526,7248,7303,0,932,5526,2000,2002,0,932,1861,0
13690,60000,Female,High school,Others,53.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,57605,48877,39689,27736,28420,29002,2088,1900,962,1100,1023,963,0
28795,80000,Female,University,Married,48.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,77627,80712,48428,52391,23359,24597,5000,5000,5000,3000,2000,3000,0
5322,20000,Female,University,Married,34.0,Payment delayed 2 months,Payment delayed 2 months,Payment delayed 2 months,Unknown,Unknown,Unknown,17151,16887,17302,18029,18362,18669,300,1000,1000,1000,1000,1000,0
7571,220000,Female,High school,Married,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,93674,123673,92036,93935,94607,93903,3500,4846,3000,3000,3000,10000,0
